,en,ko
11285,Point Hope,포인트 호프
11286,Kotzebue,코체부
11287,Diomede,디오메드
11288,French Corral,프렌치 코랄
11289,Norden,노든
11290,Manalapan,머낼러펀
11291,Woolsey,울지
11292,Snellville,스넬빌
11293,Kathleen,캐슬린
11294,Bolingbroke,볼링브룩
11295,Sun Valley,선 밸리
11296,Porthill,포트힐
11297,Latona,래토나
11298,Tice,타이스
11299,Crenshaw,크렌쇼
11300,Evanston,에반스턴
11301,Monti,몬티
11302,Grahn,그랜
11303,Switzer,스위쳐
11304,Cologne,콜롱
11305,Currie,커리
11306,Metcalfe,메트컬프
11307,Chadwick,채드윅
11308,Rodeo,로데오
11309,St. Johnsville,세인트 존스빌
11310,Gragg,그래그
11311,Marion,매리언
11312,Reedsville,리즈빌
11313,Forest Park,포레스트 파크
11314,Dacoma,다코마
11315,Kenbridge,켄브리지
11316,Roslyn,로즐린
11317,Philippi,필리피
11318,Belington,벨링턴
11319,Gip,깁
11320,Worth,워스
11321,Cashmere,캐시미어
11322,Auvil,오빌
11323,Cherry,체리
11324,Gurney,거니
11325,Clintonville,클린튼빌
11326,Hiland,하일랜드
11327,Indialantic,인디앨란틱
11328,Hanahan,하나한
11329,Wessington,웨싱턴
11330,Nutbush,너트부시
11331,Hix,힉스
11332,Wells,웰스
11333,Robert Lee,로버트 리
11334,Glen Rose,글렌 로즈
11335,Wharton,와튼
11336,Hale County,헤일 카운티
11337,Haines Borough,헤인즈 버러
11338,Cameron Parish County,캐머런 패리시
11339,Terrebonne Parish,테레본 패리시
11340,West Feliciana Parish,웨스트 펠리치아나 패리시
11341,Cecil County,세실 카운티
11342,Sutter County,서터 카운티
11343,Forrest County,포레스트 카운티
11344,Pender County,펜더 카운티
11345,Medina County,메디나 카운티
11346,Baker County,베이커 카운티
11347,Coos County,코어스 카운티
11348,Wayne County,웨인 카운티
11349,Lawrence County,로렌스 카운티
11350,Brewster County,브루스터 카운티
11351,Hall County,홀 카운티
11352,Howard County,하워드 카운티
11353,Clanton,클랜턴
11354,Colquitt,콜킷
11355,Fluvanna County,플루밴너 카운티
11356,Munster,먼스터
11357,Greene County,그린 카운티
11358,Storm Lake,스톰 레이크
11359,Quimby,큄비
11360,Chittenden County,치헌던 카운티
11361,Wakulla County,와쿨라 카운티
11362,Madison County,매디슨 카운티
11363,Goff,고프
11364,Monroe County,먼로 카운티
11365,Lincoln County,링컨 카운티
11366,Henry County,헨리 카운티
11367,Linn County,린 카운티
11368,Daviess County,데이비스 카운티
11369,Crawford County,크로퍼드 카운티
11370,Stow,스토
11371,Belmont,벨몬트
11372,Eastham,이스텀
11373,Beauregard,보르가드
11374,Sycamore,시카모어
11375,McGrath,맥그래스
11376,Westport,웨스트포트
11377,Brownville,브라운빌
11378,Jacob City,제이콥 시티
11379,Ammon,아몬
11380,Palisades,팰리세이드
11381,Roberts,로버츠
11382,Belltown,벨타운
11383,Helena,헬레나
11384,Olivet,올리벳
11385,Maple City,메이플 시티
11386,Silverdale,실버데일
11387,Mackinac Island,맥키노 아일랜드
11388,Nadeau,네이도
11389,Chaska,채스카
11390,Mountain Lake,마운틴 레이크
11391,Kinney,키니
11392,Whiteface,화이트페이스
11393,Louin,루인
11394,New Wells,뉴 웰스
11395,Powersite,파워사이트
11396,Sweet Grass,스윗 그래스
11397,Neligh,넬리
11398,Hawthorne,호손
11399,Piermont,피어몬트
11400,Villanueva,빌라누에바
11401,Willing,윌링
11402,Gorham,고램
11403,Morehead City,모어헤드 시티
11404,Rocky Mount,록키 마운트
11405,Gastonia,개스토니아
11406,Pinnacle,피나클
11407,Lefor,르포
11408,Lacarne,라칸
11409,Marland,마랜드
11410,Eastville,이스트빌
11411,Ocean Shores,오션 쇼어즈
11412,Dingy,딩이
11413,McCauley,매컬리
11414,Varney,바니
11415,New Amsterdam,뉴 암스테르담
11416,Beulah,벨루아
11417,Jenners,제너스
11418,Cassatt,카사트
11419,Alcoa,알코아
11420,Dandridge,댄드리지
11421,West University Place,웨스트 유니버시티 플레이스
11422,Cash,캐시
11423,Jackson County,잭슨 카운티
11424,Garfield County,가필드 카운티
11425,Yadkin County,야드킨 카운티
11426,Wayne County,웨인 카운티
11427,Allgood,올굿
11428,Nueces County,누에시스 카운티
11429,Liberty County,리버티 카운티
11430,Cumberland County,컴벌랜드 카운티
11431,Ventura,벤투라
11432,New Providence,뉴 프로비던스
11433,Sully,설리
11434,Paulding County,폴딩 카운티
11435,Wayne County,웨인 카운티
11436,Knox County,녹스 카운티
11437,Macoupin County,마쿠핀 카운티
11438,Payette County,파예트 카운티
11439,Teton County,티턴 카운티
11440,Grant County,그랜트 카운티
11441,Posey County,포지 카운티
11442,Wells County,웰스 카운티
11443,Stearns,스턴스
11444,Hardin County,하딘 카운티
11445,Graves County,그레이브스 카운티
11446,Leesville,리즈빌
11447,Whitman,휘트먼
11448,Deerfield,디어필드
11449,Ipswich,입스위치
11450,Berkley,버클리
11451,Orono,오로노
11452,Green Bay,그린 베이
11453,Tabernacle,타버나클
11454,Double Adobe,더블 아도비
11455,Adona,아도나
11456,Mendota,멘도타
11457,Newell,뉴웰
11458,Grover Beach,그로버 비치
11459,Hessel,헤슬
11460,Sand Bed,샌드 베드
11461,Dahlonega,달로네가
11462,Sky Valley,스카이 밸리
11463,Hagarstown,해거스타운
11464,Tipton,팁턴
11465,Radford,래드포드
11466,Edinburgh,에딘버그
11467,Everton,에버턴
11468,Woodland Hills,우드랜드 힐스
11469,Sunnydale,서니데일
11470,Bay Shore,베이 쇼어
11471,Lynd,린드
11472,Owatonna,오와토나
11473,Heathman,히스먼
11474,Matson,맷슨
11475,Roy,로이
11476,Rexford,렉스포드
11477,Sloan,슬로언
11478,Millington,밀링턴
11479,Crawford,크로퍼드
11480,Pittsfield,피츠필드
11481,Blowing Rock,블로윙 록
11482,Rodanthe,로댄스
11483,Oaks,오크스
11484,Grenora,그레노라
11485,South Euclid,사우스 유클리드
11486,Upper Arlington,어퍼 알링턴
11487,Norwalk,노워크
11488,Sterling,스털링
11489,Withrow,위드로
11490,Kent,켄트
11491,Littleton,리틀턴
11492,Sabine,사빈
11493,Menomonie,메노모니
11494,Marquette,마케트
11495,Edmund,에드먼드
11496,Delena,델레나
11497,Applegate,애플게이트
11498,Island City,아일랜드 시티
11499,Sandy Island,샌디 아일랜드
11500,Walker,워커
11501,Murfreesboro,무프리스버러
11502,Heidenheimer,하이덴하이머
11503,Kirby,커비
11504,Tivoli,티볼리
11505,Talladega County,탈레디가 카운티
11506,Dillingham Census Area,딜링햄 인구조사구역
11507,Hoonah-Angoon Census Area,후나-앵군 인구조사구역
11508,Ashley County,애슐리 카운티
11509,Lafourche Parish County,라푸쉬 패리시
11510,Waldo County,왈도 카운티
11511,Lincoln County,링컨 카운티
11512,Lancaster County,랭커스터 카운티
11513,Luna County,루나 카운티
11514,Ashe County,애시 카운티
11515,Cleveland County,클리블랜드 카운티
11516,Craven County,크레이븐 카운티
11517,Forsyth County,포사이스 카운티
11518,Guilford County,길퍼드 카운티
11519,Lenoir County,르누아르 카운티
11520,Bastrop County,배스트롭 카운티
11521,Lanett,라넷
11522,Sylvania,실베니아
11523,New Milford,뉴밀퍼드
11524,North Haven,노스 헤이븐
11525,Amherst County,애머스트 카운티
11526,Colleton County,콜레턴 카운티
11527,Jasper County,재스퍼 카운티
11528,McCormick County,매코믹 카운티
11529,Henry County,헨리 카운티
11530,Braxton County,브랙스턴 카운티
11531,Orleans County,올리언스 카운티
11532,Brantley County,브랜틀리 카운티
11533,Carroll County,캐럴 카운티
11534,Grundy County,그런디 카운티
11535,Lee County,리 카운티
11536,Livingston County,리빙스턴 카운티
11537,Radcliff,래드클리프
11538,Chickasaw County,치카소 카운티
11539,Morris County,모리스 카운티
11540,Person County,퍼슨 카운티
11541,Lewis County,루이스 카운티
11542,Secretary,세크러테리
11543,Greensboro,그린즈버러
11544,Saint Stephens,세인트 스티븐스
11545,Arkansas City,아칸소 시티
11546,Rivervale,리버베일
11547,Dunlap,던랩
11548,Deep Springs,딥 스프링스
11549,Nicasio,니카시오
11550,Elfin Forest,엘핀 포레스트
11551,Cadwell,카드웰
11552,Bloomfield,블룸필드
11553,Basswood Estates,배스우드에스테이츠
11554,Zephyrhills,제피어힐스
11555,Pinellas Park,파이넬러스파크
11556,Cache,캐시
11557,Bethlehem,베들래햄
11558,Bartle,바틀
11559,Saint Martinville,세인트 마틴빌
11560,Keymar,키마
11561,Fair Plain,페어 플레인
11562,Wixom,윅솜
11563,Yale,예일
11564,Giese,기스
11565,Scanlon,스캔런
11566,Syre,사이어
11567,Webb,웹
11568,St. Patrick,세인트 패트릭
11569,Kingsville,킹스빌
11570,Competition,컴페티션
11571,Kaiser,카이저
11572,Morehouse,모어하우스
11573,Crestwood,크레스트우드
11574,Schuyler,스카일러
11575,Pilar,필라
11576,Greig,그레이그
11577,Hamlin,햄린
11578,Skaneateles,스캐니틀리스
11579,Delphos,델포스
11580,Beebe,비브
11581,Clarkson,클락슨
11582,Lewis Center,루이스 센터
11583,Birmingham,버밍햄
11584,Mentor-on-the-Lake,멘토 온 더 레이크
11585,Kenilworth,케닐워스
11586,Walden,월든
11587,Goode,구드
11588,Remington,레밍턴
11589,Cross Keys,크로스 키스
11590,Dungeness,던지니스
11591,Juanita,주아니타
11592,Friday Harbor,프라이데이 하버
11593,Lansing,랜싱
11594,Middleway,미들웨이
11595,Tams,탬스
11596,Glover,글로버
11597,Waupun,오펀
11598,Laketown,레이크타운
11599,Radisson,래디슨
11600,Slab City,슬랩 시티
11601,Vernonia,베르노니아
11602,Iva,아이바
11603,Manning,매닝
11604,Dillon,딜런
11605,Ridgeway,리즈웨이
11606,Gresham,그레셤
11607,Marvin,마빈
11608,Shindler,신들러
11609,Quinn,퀸
11610,Gleason,글리슨
11611,Midlothian,미들로디언
11612,Klein,클라인
11613,Doole,둘
11614,Water Valley,워터 밸리
11615,Bienville Parish County,비앙빌 패리시
11616,Red Lake County,레드 레이크 카운티
11617,Barry County,배리 카운티
11618,Gallatin County,갤러틴 카운티
11619,Humboldt County,험볼트 카운티
11620,Cumberland County,컴벌랜드 카운티
11621,Iredell County,이레델 카운티
11622,Lee County,리 카운티
11623,Lincoln County,링컨 카운티
11624,Sherman County,셔먼 카운티
11625,Eureka Springs,유레카스프링스
11626,Rancho Cordova,랜초 코도바
11627,Snowmass Village,스노우메스 빌리지
11628,East Windsor,이스트윈저
11629,Griswold,그리스올드
11630,Tuscola,터스콜라
11631,Chalmers,찰머스
11632,Garnavillo,가나빌로
11633,Valeria,발레리아
11634,Columbus City,콜럼버스 시티
11635,Mingo County,밍고 카운티
11636,La Plata County,라플라타 카운티
11637,Charlotte County,샬럿 카운티
11638,Murray County,머리 카운티
11639,Hamilton County,해밀턴 카운티
11640,Jersey County,저지 카운티
11641,Clay County,클레이 카운티
11642,Morgan County,모건 카운티
11643,Northborough,노스버러
11644,Freetown,프리타운
11645,Belfast,벨파스트
11646,Pelican,펠리칸
11647,Mountain Center,마운틴 센터
11648,Daggett,대거트
11649,Cotopaxi,코토팍시
11650,Graceville,그레이스빌
11651,Briny Breezes,브라이니브리지스
11652,Morrow,모로
11653,Toccoa,토코아
11654,Twin Falls,트윈 폴스
11655,Palos Hills,팰로스 힐스
11656,Grand Tower,그랜드 타워
11657,Yeager,예거
11658,Orleans,올리언스
11659,Ceylon,실론
11660,Mano,마노
11661,McKinley,맥킨리
11662,Talmo,탈모
11663,Wrigley,뤼글리
11664,Nancy,낸시
11665,Sherwood Forest,셔우드 포레스트
11666,Grandville,그랜드빌
11667,Champlin,챔플린
11668,Fertile,퍼틀
11669,Cruger,크루거
11670,Money,머니
11671,Bellflower,벨플라워
11672,Gobler,고블러
11673,Beverly Hills,비벌리 힐스
11674,Black Jack,블랙 잭
11675,Kinloch,킨로츠
11676,Gillette,질레트
11677,Hibernia,히버니아
11678,Belmont,벨몬트
11679,Macedon,메이스던
11680,Enfield,엔필드
11681,Eno,이노
11682,Meadows,미도우즈
11683,Gutman,거트먼
11684,Piqua,피쿠아
11685,Conover,코노버
11686,Circleville,서클빌
11687,Creola,크레올라
11688,Soper,소퍼
11689,Layton,레이턴
11690,Wendover,웬도버
11691,Staunton,스톤턴
11692,Court House,코트 하우스
11693,Rainier,레이니어
11694,Columbus,컬럼버스
11695,Wagner,와그너
11696,Jonesville,존스빌
11697,Grand Rapids,그랜드 래피즈
11698,Yonna,요나
11699,Banks,뱅크스
11700,Loris,로리스
11701,Daisy,데이지
11702,Lynchburg,린치버그
11703,St. Francis,세인트 프랜시스
11704,San Augustine,샌 오거스틴
11705,Dale County,데일 카운티
11706,Ascension Parish Country,어센션 패리시
11707,St. Charles Parish,세인트 찰스 패리시
11708,Emmet County,에밋 카운티
11709,Ontonagon County,온터나건 카운티
11710,Hayes County,헤이스 카운티
11711,Columbus County,콜럼버스 카운티
11712,Corson County,코슨 카운티
11713,Wise County,와이즈 카운티
11714,Foreman,포어맨
11715,Momence,모멘스
11716,Marlboro County,말버러 카운티
11717,Allison,앨리슨
11718,Tucker County,터커 카운티
11719,Ouray County,유레이 카운티
11720,Bear Lake County,베어 레이크 카운티
11721,Greene County,그린 카운티
11722,Buhler,불러
11723,Pike County,파이크 카운티
11724,Clark County,클라크 카운티
11725,Van Buren County,밴 뷰런 카운티
11726,Pawnee County,포니 카운티
11727,South Portland,사우스 포틀랜드
11728,Kennebunk,케네벙크
11729,Magazine,매거진
11730,San Joaquin,샌 조아퀸
11731,Peardale,피어데일
11732,Nipton,닙튼
11733,Skyforest,스카이포레스트
11734,Dulzura,둘주라
11735,Bonny Doon,보니 둔
11736,Laird,레어드
11737,Leto,레토
11738,Bay Point,베이포인트
11739,Port Richey,포트리치
11740,Auburndale,오번데일
11741,Gilson,길슨
11742,New Hope,뉴 호프
11743,Lowder,로더
11744,Newtown,뉴타운
11745,Sioux City,수 시티
11746,Elsie,엘시
11747,Columbo,콜럼보
11748,White Plains,화이트 플레인스
11749,Bozman,보즈먼
11750,Fisk,피스크
11751,Vulcan,벌칸
11752,Ravenwood,레이븐우드
11753,Belgique,벨지크
11754,Chaffee,채피
11755,Dutton,더턴
11756,Fontanelle,폰타넬
11757,Mesquite,메스키트
11758,North San Ysidro,노스 산 이시드로
11759,Abo,애보
11760,Alden,올던
11761,Paris,패리스
11762,Glens Falls,글렌즈 폴스
11763,Sea Level,씨 레벨
11764,Holden,홀던
11765,Rimer,라이머
11766,Tom,톰
11767,Velma,벨마
11768,Strasburg,슈트라스부르크
11769,La Push,라 푸시
11770,Galloway,갤러웨이
11771,Smithburg,스미스버그
11772,Hookersville,후커스빌
11773,Swiss,스위스
11774,Mentor,멘토
11775,Amery,애머리
11776,Grow,그로우
11777,Jackson,잭슨
11778,San Anselmo,샌 엔젤모
11779,Kerry,케리
11780,Willowdale,윌로데일
11781,Mapleton,메이플턴
11782,Scranton,스크랜턴
11783,Winfred,윈프레드
11784,La Porte,라 포트
11785,Hearne,헌
11786,Marengo County,마렝고 카운티
11787,Lake and Peninsula Borough,레이크 앤 페닌술라 버러
11788,Madison County,매디슨 카운티
11789,Leflore County,르플로어 카운티
11790,Saunders County,손더스 카운티
11791,Yamhill County,얌힐 카운티
11792,Headland,헤드랜드
11793,Madrid,마드리드
11794,Muscle Shoals,머슬 쇼울즈
11795,Pecos County,페코스 카운티
11796,Victorville,빅토리아빌
11797,Jupiter,주피터
11798,Clarke County,클라크 카운티
11799,Jakin,재킨
11800,Birdseye,버즈아이
11801,Scammon,스캐먼
11802,Lemhi County,레미 카운티
11803,Lewis County,루이스 카운티
11804,Whitfield County,휘트필드 카운티
11805,Whiteside County,화이트사이드 카운티
11806,Owyhee County,오위히 카운티
11807,Williamson County,윌리엄슨 카운티
11808,Carroll County,캐럴 카운티
11809,Dearborn County,디어본 카운티
11810,Montgomery County,몽고메리 카운티
11811,Wabash County,워배시 카운티
11812,Cedar County,시더 카운티
11813,Davis County,데이비스 카운티
11814,Montgomery County,몽고메리 카운티
11815,Meade County,미드 카운티
11816,Saline County,설린 카운티
11817,Glen Echo,글렌 에코
11818,Preston,프레스턴
11819,Woolwich,울위치
11820,Hugo,휴고
11821,Tanana,타나나
11822,Rison,리슨
11823,Lakeport,레이크포트
11824,Alturas,앨투러스
11825,Encinitas,앤시니타스
11826,Acampo,아캄포
11827,Delta,델타
11828,Matheson,매더슨
11829,City Point,시티 포인트
11830,Ft. Green,포트 그린
11831,Lake Wales,레이크웨일스
11832,Juniper,주피터
11833,Nampa,넴파
11834,Weippe,웨이프
11835,Post Falls,포스트 폴스
11836,Clarkia,클라키아
11837,Sunny Hill Estates,서니 힐 에스테이츠
11838,Templeton,템플턴
11839,Lucerne,루선
11840,South Boston,사우스 보스턴
11841,Redgate,레드게이트
11842,Mio,미오
11843,Sturgis,스터지스
11844,Remer,리머
11845,Mantorville,맨토빌
11846,New Richland,뉴 리치랜드
11847,Baird,베어드
11848,Cedar City,시더 시티
11849,Rescue,레스큐
11850,Shrewsbury,슈루즈버리
11851,Scribner,스크라이브너
11852,Papillion,파필리언
11853,Scottsbluff,스코츠블러프
11854,Ledgewood,레지우드
11855,Long Valley,롱 밸리
11856,Rio Rancho,리오 랜초
11857,Union,유니언
11858,Coldspring,콜드스프링
11859,Minden,민든
11860,Plainfield,플레인필드
11861,Newark Valley,뉴워크 밸리
11862,Whitehall,화이트홀
11863,Arcade,아케이드
11864,Lucia,루시아
11865,Murfreesboro,머프리스버러
11866,Dobson,돕슨
11867,Neuse,뉴스
11868,Fingal,핑걸
11869,Munich,뮤니크
11870,Crystal,크리스탈
11871,Gomer,고머
11872,Brokensword,브로큰스워드
11873,Jackson,잭슨
11874,Rupert,루퍼트
11875,West Carrollton,웨스트 캐롤턴
11876,Baron,베이런
11877,Weatherford,웨더포드
11878,Meno,메노
11879,American Fork,아메리칸 포크
11880,Lilly,릴리
11881,Junction,정션
11882,Baber,바버
11883,Johnnycake,조니케이크
11884,Cambria,캄브리아
11885,Windy Hill,윈디 힐
11886,Rita,리타
11887,Yorktown,요크타운
11888,Westphalia,웨스트팔리아
11889,Ledbetter,레드베터
11890,Walhalla,왈할라
11891,Anoka,애너카
11892,Cleburne County,클리번 카운티
11893,Cullman County,쿨만 카운티
11894,Lonoke County,로노크 카운티
11895,Pope County,포프 카운티
11896,Gladwin County,글래드윈 카운티
11897,Menominee County,메노미니 카운티
11898,Kemper County,켐퍼 카운티
11899,Stanton County,스탠턴 카운티
11900,Emmons County,에몬스 카운티
11901,Hocking County,호킹 카운티
11902,Rutherford County,러더퍼드 카운티
11903,Codington County,코딩턴 카운티
11904,Bee County,비 카운티
11905,Irion County,아이리온 카운티
11906,Gustine,구스틴
11907,Sabine County,사빈 카운티
11908,Sycamore,시커모어
11909,Mount Vernon,마운트 버넌
11910,Newberry County,뉴베리 카운티
11911,Rudd,러드
11912,Webster County,웹스터 카운티
11913,Emporia,엠포리아
11914,Stewart County,스튜어트 카운티
11915,Greene County,그린 카운티
11916,Howard County,하워드 카운티
11917,Jewell County,쥬얼 카운티
11918,Tallulah,탈룰라
11919,Pendleton County,펜들턴 카운티
11920,Currituck County,커리턱 카운티
11921,Hatfield,하트필드
11922,Goshen,고센
11923,Rowe,로우
11924,Landover Hills,랜도버 힐스
11925,Hyattsville,하이어츠빌
11926,Bethel,베델
11927,Pinole,피놀리
11928,Oak Creek,오크 크리크
11929,Palm River,팜 리버
11930,Atlantis,애틀랜티스
11931,Kalamazoo,캘러머
11932,Boos,부스
11933,Christiansburg,크리스찬스버그
11934,Knoxville,녹스빌
11935,Hingham,힝햄
11936,Blue Earth,블루 어스
11937,Golden Valley,골든 밸리
11938,Starbuck,스타벅
11939,Bear River,베어 리버
11940,Payne,페인
11941,Woodbury,우드베리
11942,Artesia,아르테시아
11943,Paynes,페인즈
11944,Mexico,멕시코
11945,Curtis,커티스
11946,Sea Isle City,시 아일 시티
11947,Angelica,앤젤리카
11948,Bolivia,볼리비아
11949,Valdese,발데즈
11950,Sophia,소피아
11951,Fairmont,페어몬트
11952,Luverne,루번
11953,Imperial,임페리얼
11954,Ellsworth,엘스워스
11955,Medina,메디나
11956,Leesburg,리즈버그
11957,Chestnut Hill,체스트넛 힐
11958,Howesville,하우스빌
11959,Hertel,허텔
11960,Brackett,브랙켓
11961,Argonne,아르곤
11962,Manitowoc,매니토웍
11963,Milan,밀란
11964,Land O' Lakes,랜드 오 레이크스
11965,Rural,루럴
11966,Jay Em,제이 엠
11967,Star Valley Ranch,스타 밸리 랜치
11968,Hallandale Beach,홀랜데일 비치
11969,Barrington,배링턴
11970,Murdo,머도
11971,Coffee City,커피 시티
11972,Blum,블럼
11973,Waring,워링
11974,Pierce,피어스
11975,Bibb County,비브 카운티
11976,Talbot County,탤벗 카운티
11977,Dukes County,듀크스 카운티
11978,Waseca County,와세카 카운티
11979,Storey County,스토리 카운티
11980,Williams County,윌리엄스 카운티
11981,Clinton County,클린턴 카운티
11982,Love County,러브 카운티
11983,Deaf Smith County,디프 스미스 카운티
11984,Pine Apple,파인애플
11985,Kearny,커니
11986,San Patricio County,샌 파트리시오 카운티
11987,Bamberg County,밤베르그 카운티
11988,La Harpe,라 하프
11989,Columbia,컬럼비아
11990,Lake Hart,레이크 하트
11991,Aurelia,오릴리아
11992,Dana,대나
11993,Glasco,글래스코
11994,Longton,롱턴
11995,Randolph County,랜돌프 카운티
11996,Kit Carson County,키트 카슨 카운티
11997,Coats,코츠
11998,Putnam County,퍼트넘 카운티
11999,Monroe County,먼로 카운티
12000,Schuyler County,스카일러 카운티
12001,Kosciusko County,코스키우스코 카운티
12002,Newton County,뉴턴 카운티
12003,Buchanan County,뷰캐넌 카운티
12004,Cherokee County,체로키 카운티
12005,Sac County,색 카운티
12006,Brandenburg,브랜든버그
12007,Gove County,고브 카운티
12008,Duchesne County,뒤센 카운티
12009,Douglas County,더글러스 카운티
12010,Koehler,쾰러
12011,Milton,밀턴
12012,Mountain Village,마운틴 빌리지
12013,Bettles,베틀스
12014,Beaver Dam,비버 댐
12015,Smith River,스미스 리버
12016,Crested Butte,크레스티드 뷰트
12017,Newtown,뉴타운
12018,Somers,소머스
12019,Indian River Shores,인디안 리버 쇼어즈
12020,Rio Pinar,리오피나
12021,New Port Richey,뉴포트리치
12022,North Redington Beach,노스레딩턴비치
12023,Warner Robins,워너 로빈스
12024,Aragon,아라곤
12025,Santa Claus,산타 클로스
12026,Enion,에니언
12027,Maple Valley,메이플 벨리
12028,St. Benedict,세인트 베네딕트
12029,Kettle,케틀
12030,Legrande,레그랜드
12031,Keeneland,킨랜드
12032,Lone Pine,론 파인
12033,New Buffalo,뉴 버팔로
12034,Mt. Pleasant,마운틴 플레전트
12035,Jenkins,젠킨스
12036,La Crescent,라 크레센트
12037,Pitt,피트
12038,Kosciusko,코스키우스코
12039,Fitler,피틀러
12040,Luebbering,루버링
12041,West Yellowstone,웨스트 옐로스톤
12042,Fitzwilliam,피츠윌리엄
12043,Hopelawn,호프론
12044,Rahway,라웨이
12045,New Castle,뉴 캐슬
12046,Hoffman,호프먼
12047,Forestville,포레스트빌
12048,Gascoyne,개스코인
12049,Greentree Corners,그린트리 코너스
12050,Talala,탈랄라
12051,Plaza,플라자
12052,Kalamazoo,캘러머
12053,Sun Valley,선 밸리
12054,Left Hand,레프트 핸드
12055,Fanny,파니
12056,Poskin,포스킨
12057,Springwater,스프링워터
12058,Waynesburg,웨인즈버그
12059,Bluffton,블러프턴
12060,Latium,라티움
12061,Trenton,트렌턴
12062,Streator,스트리터
12063,Blount County,블런트 카운티
12064,Livingston County,리빙스턴 카운티
12065,Tehama County,테하마 카운티
12066,Custer County,커스터 카운티
12067,Beaver County,비버 카운티
12068,Cimarron County,시머론 카운티
12069,Douglas County,더글러스 카운티
12070,Pottawatomie County,포타와토미 카운티
12071,Umatilla County,우마틸라 카운티
12072,Snyder County,스나이더 카운티
12073,Gregory County,그레고리 카운티
12074,Camp County,캠프 카운티
12075,Gray County,그레이 카운티
12076,Harrison County,해리슨 카운티
12077,Midland City,미드랜드시티
12078,Moore County,무어 카운티
12079,Avenal,아베날
12080,San Marcos,샌 마르코스
12081,San Pablo,샌 패블로
12082,Shasta Lake,샤스타 레이크
12083,Mattoon,마툰
12084,Bridgeport,브리지포트
12085,New Chicago,뉴 시카고
12086,Bourbon,버번
12087,Indian Village,인디언 빌리지
12088,Ankeny,앙키니
12089,Levy County,레비 카운티
12090,Bartow County,바토 카운티
12091,Lumpkin County,럼킨 카운티
12092,Walton County,월턴 카운티
12093,Mercer County,머서 카운티
12094,Warfield,워필드
12095,Livingston,리빙스턴
12096,McLean County,매클레인 카운티
12097,New Vineyard,빈야드
12098,New Braintree,뉴 브레인트리
12099,Brentwood,브렌트우드
12100,Vienna,비엔나
12101,Bayou La Batre,바유라바트레
12102,Bayside,베이사이드
12103,Saxman,색스먼
12104,Gualala,구알랄라
12105,Aguanga,아구앙가
12106,Weaverville,위버빌
12107,Boulder,볼더
12108,Williamsburg,윌리엄스버그
12109,Cocoa Beach,코코아 비치
12110,Valley Hill,밸리 힐
12111,Oak Park,오크 파크
12112,Fairburn,페어번
12113,Braselton,브라셀턴
12114,Dacula,다큘라
12115,Black,블랙
12116,Reynoldsburg,레이놀즈버그
12117,Hinton,힌턴
12118,Crisp,크리스프
12119,Dykersburg,다이커스버그
12120,Worthington,워싱턴
12121,Blue Grass,블루 그라스
12122,Stuttgart,스터트가트
12123,Wallonia,왈로니아
12124,Beardsley,비어즐리
12125,Esko,에스코
12126,Lilydale,릴리데일
12127,Cannon City,캐논 시티
12128,Buhl,뷸
12129,Cotton,코튼
12130,Holloway,할로웨이
12131,Hernando,허난도
12132,Tremont,트레몬트
12133,Akers,에이커스
12134,Graff,그래프
12135,Melville,멜빌
12136,Hazen,헤이즌
12137,Newton,뉴턴
12138,Tucumcari,투컴카리
12139,Abiquiu,애비퀴우
12140,Blanco,블랑코
12141,Cerro,세로
12142,York,요크
12143,Broome,브룸
12144,Campbell,캠벨
12145,Rathbone,래스본
12146,Rye,라이
12147,River Bend,리버 벤드
12148,Robbinsville,로빈스빌
12149,Windblow,윈드블로
12150,Hillsborough,힐스버러
12151,Maribel,마리벨
12152,Penn,펜
12153,Garfield Heights,가필드 하이츠
12154,Monclova,몬클로바
12155,Galion,갈리언
12156,Mustang,무스탱
12157,Slick,슬릭
12158,Wynnewood,윈우드
12159,Midwest City,미드웨스트 시티
12160,Shaftsbury,새프츠베리
12161,Brattleboro,브래틀버러
12162,Rockville,로크빌
12163,Cornwell,콘웰
12164,Pysht,파이시트
12165,Steilacoom,스테일라쿰
12166,Dunbar,던바
12167,Hartford City,하트퍼드 시티
12168,Wana,와나
12169,Kiel,키엘
12170,Mt. Vernon,마운트 버넌
12171,Institute,인스티튜트
12172,Summit,서밋
12173,Stiles,스틸스
12174,Cornelius,코넬리우스
12175,Ridgway,리즈웨이
12176,Carbondale,카본데일
12177,Rock Hill,록 힐
12178,Putney,퍼트니
12179,Eaton,이튼
12180,Kalgary,캘거리
12181,Judson,저드슨
12182,Biloxi,빌록시
12183,Pottsville,포츠빌
12184,Barton County,바턴 카운티
12185,McDowell County,맥도웰 카운티
12186,Morrow County,모로 카운티
12187,Adams County,애덤스 카운티
12188,Bradford County,브래드퍼드 카운티
12189,Hughes County,휴스 카운티
12190,Faulk County,포크 카운티
12191,Castleberry,캐슬베리
12192,Luverne,루번
12193,Terry County,테리 카운티
12194,Red Bay,레드베이
12195,Eagar,이거
12196,Parmer County,파머 카운티
12197,Canyon Lake,캐니언레이크
12198,Lampasas County,람파사스 카운티
12199,Bland County,블랜드 카운티
12200,Council,카운슬
12201,Newton,뉴턴
12202,Chester,체스터
12203,Trafalgar,트라팰가
12204,Mecca,메카
12205,Wabash,워배시
